year,BASIN_NAME,PCP,AETI,RET,TWS
2025,Al_Maleh,218.74982,271.86395,1636.4545,433.91766
2018,Al_Far'a,511.8905,351.95825,1493.1328,578.3415
2019,Al_Far'a,452.07507,398.62473,1513.2823,586.4002
2020,Al_Far'a,368.93338,410.8828,1494.8083,599.42236
2021,Al_Far'a,337.51147,391.88824,1619.4547,565.6343
2022,Al_Far'a,307.78436,378.90335,1539.2256,571.34174
2023,Al_Far'a,414.4706,376.69183,1555.8373,550.7643
2024,Al_Far'a,289.9066,371.37598,1564.5471,519.5112
2025,Al_Far'a,283.82925,330.6752,1632.0837,522.6044
2018,Auja_Fasayel,450.37457,251.47366,1576.3657,591.9015
2019,Auja_Fasayel,419.78787,282.05603,1602.763,597.5208
2020,Auja_Fasayel,379.24194,290.35294,1552.5402,604.54443
2021,Auja_Fasayel,316.00964,290.14844,1667.7418,580.16223
2022,Auja_Fasayel,290.90787,276.46442,1585.1837,609.5003
2023,Auja_Fasayel,402.24286,285.335,1595.6124,589.8797
2024,Auja_Fasayel,277.99835,283.98315,1622.8257,559.60364
2025,Auja_Fasayel,264.94672,253.08643,1675.1279,554.28845
2018,Al_Qilt,548.05414,246.82904,1641.5703,602.6483
2019,Al_Qilt,544.4057,267.2365,1681.6223,603.3648
2020,Al_Qilt,526.64233,278.99243,1626.6373,603.4682
2021,Al_Qilt,425.14954,284.2385,1725.3953,587.55524
2022,Al_Qilt,414.01,251.73157,1652.7415,631.5659
2023,Al_Qilt,520.8933,267.8443,1649.9088,613.0572
2024,Al_Qilt,387.31592,256.59033,1681.2941,584.96387
2025,Al_Qilt,405.0258,235.65175,1721.6481,577.4451
2018,Auja_Tamaseeh,735.71747,432.9177,1549.7537,561.0459
2019,Auja_Tamaseeh,654.9608,464.64478,1580.0774,562.2757
2020,Auja_Tamaseeh,729.01135,469.1535,1504.6829,572.17334
2021,Auja_Tamaseeh,585.9349,486.14337,1645.7583,546.8506
2022,Auja_Tamaseeh,542.93933,456.27924,1544.6786,560.7173
2023,Auja_Tamaseeh,611.44354,461.2715,1580.6759,540.61554
2024,Auja_Tamaseeh,539.0419,455.35974,1591.3185,513.12585
2025,Auja_Tamaseeh,548.229,412.5507,1660.3591,514.9242
