year,Admin_level1,PCP,AETI,RET,TWS
2024,North,302.56372,284.59552,1586.8224,381.14178
2025,North,341.2659,241.46446,1580.7599,390.12988
2018,Gaza,483.67065,325.56757,1448.3125,487.50482
2019,Gaza,268.5677,341.57556,1460.375,482.9836
2020,Gaza,340.9528,362.74835,1434.375,490.93787
2021,Gaza,345.9105,381.42374,1560.5625,481.8334
2022,Gaza,438.1374,369.25876,1473.1875,502.1003
2023,Gaza,280.54004,385.3232,1498.125,479.84113
2024,Gaza,260.22647,235.76352,1555.5,452.01685
2025,Gaza,271.98074,224.93407,1537.0,450.59146
2018,Deir_Al-Balah,405.6908,357.84506,1448.3125,490.16336
2019,Deir_Al-Balah,216.79906,363.9308,1460.375,485.7763
2020,Deir_Al-Balah,254.62206,381.21924,1434.375,493.69296
2021,Deir_Al-Balah,285.5489,403.23022,1560.5625,484.54825
2022,Deir_Al-Balah,354.3374,384.44095,1473.1875,505.3742
2023,Deir_Al-Balah,230.18658,402.60962,1498.125,482.86212
2024,Deir_Al-Balah,203.49866,252.14763,1555.5,454.96222
2025,Deir_Al-Balah,225.3927,225.59622,1537.0,453.27637
2018,Khan_Younis,333.69543,253.41562,1566.8789,490.16336
2019,Khan_Younis,178.82649,261.0403,1566.201,485.77634
2020,Khan_Younis,202.33913,279.25345,1535.6471,493.693
2021,Khan_Younis,232.46402,284.5813,1670.4547,484.54825
2022,Khan_Younis,270.0449,268.76636,1579.0679,505.3742
2023,Khan_Younis,191.17825,296.66238,1610.8363,482.86215
2024,Khan_Younis,164.09903,185.19069,1654.4951,454.96225
2025,Khan_Younis,172.90042,187.8897,1651.9883,453.27637
2018,Rafah,297.7212,204.06969,1585.0,509.01938
2019,Rafah,160.47937,212.3367,1582.375,504.22833
2020,Rafah,170.78453,220.64917,1551.125,511.43896
2021,Rafah,212.78796,221.03766,1687.25,502.11276
2022,Rafah,218.71832,205.49661,1595.25,523.0432
2023,Rafah,180.24086,232.13231,1628.0625,500.20935
2024,Rafah,143.39172,156.87666,1669.625,472.67105
2025,Rafah,157.21262,147.1554,1669.5625,470.23257
